what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1600349855716
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1600349855716
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1600349855716
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1600349855717
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1600349855718
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1600349855718
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1600349855718
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1600349855718
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1600349855719
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1600349855719
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1600349855720
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1600349855721
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1600349855722
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1600349855735
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1600349855735
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1600349855736
os,sysinfo,,,"win32",1600349855738
arch,sysinfo,,,"x86",1600349855738
ws,sysinfo,,,"win32",1600349855738
locale,sysinfo,,,"pt_BR",1600349855738
processors,sysinfo,,,"4",1600349855738
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1600349855738
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1600349855738
java.specification.name,sysinfo,,,"Java Platform API Specification",1600349855738
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1600349855738
java.specification.version,sysinfo,,,"1.6",1600349855738
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1600349855738
java.version,sysinfo,,,"1.6.0_23",1600349855738
java.vm.info,sysinfo,,,"mixed mode",1600349855738
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1600349855738
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1600349855738
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1600349855738
java.vm.specification.version,sysinfo,,,"1.0",1600349855738
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1600349855738
java.vm.version,sysinfo,,,"19.0-b09",1600349855738
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1600349855776
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1600349855819
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1600349855882
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1600349855919
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1600349857654
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1600349857808
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1600349860959
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1600349861013
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1600349861417
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1600349861439
