what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619494617252
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619494619138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494620460
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494621443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494624078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494624897
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619494625052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494626937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494626947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494629768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494708116
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619494708132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494718875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494723278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494726525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494731575
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1619494737214
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1619494737355
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1619494737531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619494749537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619494749973
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619494752769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619494755612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494760656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494763017
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619494763140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494764561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494765514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494773536
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619494774561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494808569
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619494808590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494810420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494827991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494846561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494851371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494852833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494861174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494863205
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494863709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494863740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494863767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494864000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494864206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494864414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494864628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494864820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494865133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494865458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494865706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494865922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494866385
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.quick.type.hierarchy",1619494868551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619494869578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1619494870252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619494871100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619494873432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494874756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494876661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619494876683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494878103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494879081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494882676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494883521
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619494883674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494885552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494885561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494888067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494914882
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619494914902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494916385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494918723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494928680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494930935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619494938901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494945964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494948369
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619494948479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494950173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494961465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494964299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494965120
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619494965275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494967158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494967168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494971269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619494991740
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619494991758
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619495001740
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1619495004998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619495011586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495045403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495048511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495050581
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619495051543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495053367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495054324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495058301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495059120
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619495059274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495061159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495061169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495063607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495099799
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619495099814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495102653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495120600
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1619495123927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1619495124726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495128520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495146134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495147658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495149285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495155252
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.shiftLeft",1619495158760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495159455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619495160603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495161875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495162833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495165684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495166560
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619495166714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495168585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495168595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495171502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495412997
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619495413023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1619495416382
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495417294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495418743
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1619495433618
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1619495434787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619495436917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495437386
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1619495444118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619495457028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495457966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619495460759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495462342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495463076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619495474036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495474847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495475660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495476656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619495486494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495487324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495487940
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1619495488639
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495489080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1619495492238
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619495492930
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619495493111
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619495493297
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619495493464
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1619495493640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495495264
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1619495501867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1619495502074
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1619495502281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495503552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619495507337
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495508324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495853459
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619495853470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495857119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495858755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495862116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495862602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495864576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495865560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495870178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495870995
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619495871148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495873122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495873132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619495876675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496386511
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1619496386518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496388341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496391559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496394769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496396440
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619496396452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619496398074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496401712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496403361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496411644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496412085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496413867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496414390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496417977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496418795
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619496418952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496420597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496420608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496423065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496692793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496695239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496696651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496702335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619496703988
