what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543508134
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619543508289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543510284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543510293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543512296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543543741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543544666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543647264
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619543647278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543651935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543654785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543656984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543662769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1619543669201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543670137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543675716
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1619543675727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543677704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543678686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543681689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543682498
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1619543682651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543684520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543684529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543686801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543922638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1619543922650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543946721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543948033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619543950602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1619544050781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619544058484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619544064825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619544072365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619544073883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1619544074987
